,user,coordinates,location,tweet
158,SathwikThalapa1,,,RT AnanyaNagalla VaccinatedGot lil sick and lazy on bed all day CovidVaccine
159,JurneeJakes,,"Valleyview, Alberta",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
160,uv_pod,,,Do your part togetherwecandoit disinfectant covid19 sterilize germfree germs cosmetics makeupartist
161,Saturday_robots,,St Louis,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
162,vaxblr,,"Bengaluru, India",45 BBMP Bengaluru CovidVaccine Availability for 0211 at 0530PMFREE Slots 0PAID Slots COVISHIELD Dose11
163,vaxblr,,"Bengaluru, India",45 URBAN Bengaluru CovidVaccine Availability for 0211 at 0530PMFREE Slots 0PAID Slots COVISHIELD Dose1
164,vaxblr,,"Bengaluru, India",45 RURAL Bengaluru CovidVaccine Availability for 0211 at 0530PMFREE Slots 0PAID Slots 0
165,HSECHODNCC,,North Dublin City and County,A walk in vaccination clinic will operate in the National Show Centre Swords tomorrow from 520pm to 7pm Anyone a
166,OldNick66,,,RT gorskon Oh dear Someone thought I was being an asshole because I said Good riddance to bad rubbish about that nurse who made a
167,Lisch_ka,,"Vienna, Austria",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
168,compilerr0r,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
169,RichardsThumpy,,,RT minji80201 some pro vaxxers be like I have friends amp family who are doctors who approve of the vax and im just like ok well i
170,MrsKLol,,Unceded Suquamish,RT RobAbramowitz MarkLevineNYC Every leading religious leader including the Pope has URGED everyone to get the vaccine So the religi
171,hpl_wilcox,,Wien Österreich,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
172,emilie_emilie77,,"Vienna, Austria",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
173,deanneypangan,,🦅,RT ICRC Almost 50 of the worlds population has received at least one dose of the COVIDVaccineIn lowincome countries its barely 3
174,THE_Russell,,"Brisbane, Australia",RT NEWZWARZ TheiCookSlugI want to see the contract Morrison signed with PfizerLeaked copy of one contract55 Purchaser acknowl
175,zeisbaerger,,Terra X,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
176,GanaHiroko,,,RT DrJohnB2 Brain death in a vaccinated PfizerBioNTech 2 doses patient with COVID19 infection CovidVaccine
177,AutorinEmma,,"Wien, Österreich",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
178,LebendigeG,,Ottonisches Reich,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
179,iaince,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
180,gill_othen,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
181,EdDeVere,,Forest city w/ explosive trees,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
182,Jenny_Radcliffe,,Behind a 🎤 on a roof.,RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
183,hoare_,,far east/south east asia.,From Boeing to Mercedes a US worker rebellion swells over vaccine mandates tuesdayvibe
184,RodneyRohde,,Texas State University - @TXST_CLS,RT CarlosdelRio7 Looking forward to tomorrows ACIP meeting when the pfizer COVIDVaccine for children 5 11 yearsold will be discusse
185,luminiferous,,Edinburgh,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
186,CY_KANG_S_Korea,,"Seoul, South Korea",RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
187,PsychosisFuzz,,,RT DrEricDing TheAtlantic ProfEmilyOster This is a horrible horrible garbage take I cant believe TheAtlantic published this nonsense
188,SidMookerjee,,,Thnx profhelenward ONS Graphic says it all COVID19 COVIDVaccine
189,StephenLuick,,"Middleton, WI",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
190,patriot_zee2,,,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
191,AmbleByTheSea,,Amble Northumberland UK,RT Sealdiver Over 16Havent had yet had a COVIDVaccine If you initially declined vaccination but have now changed your mind please
192,TheGoddessLivia,,Michigan,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
193,BeautyGirl007,,Fantasyland,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
194,DPatriit,,,RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
195,HSECHO7,,"Dublin, Kildare & Wicklow ",RT emilyminasmyth Pop up clinic in Clondalkin If you havnt had your COVIDVaccine this is your chance
196,missapea,,SoCal ,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
197,musicandscifi,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
198,chazzbot,,Florida,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
199,LPWestmoreland,,"Pennsylvania, USA",RT BoQueenofScotch Last week my mother suffered from a heart attack It was found that she now also has pulmonary embolisms Her doctor
200,nekonosan1,,蝦夷地,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
201,IamKeonte,,"Maryland, USA",RT AAHealth COVID19 Booster Shot Clinics Sign up at Appointments preferred Convenient times and locations in
202,boomlive_in,,"Mumbai, India",While most states and cities are allowing travellers who have received both doses of the vaccine there are some ex
203,snicksndaisy,,"Chicago, IL",RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
204,emilyminasmyth,,"Dublin City, Ireland",Pop up clinic in Clondalkin If you havnt had your COVIDVaccine this is your chance
205,EmmaHaisz,,Yuggera Country,RT acweyand Over the last 2 days Ive received almost 200 DMs from parents asking about the COVIDVaccine EUA for 511 yo This is a o
206,Lunarheritage,,"Greenwich, London 0° L",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
207,vaxblr,,"Bengaluru, India",1844 BBMP Bengaluru CovidVaccine Availability for 0211 at 0500PMFREE Slots COVISHIELD Dose12655 Dose2
208,vaxblr,,"Bengaluru, India",1844 URBAN Bengaluru CovidVaccine Availability for 0211 at 0500PMFREE Slots 0PAID Slots COVISHIELD Dose
209,estates_g,,"Ashton-under-Lyne, England",Feel free to come along to the blue clinic today to grab your either your 1st 2nd or Booster Pfizer covid jab y
210,vaxblr,,"Bengaluru, India",1844 RURAL Bengaluru CovidVaccine Availability for 0211 at 0500PMFREE Slots COVISHIELD Dose14 Dose244
211,ange_patricia,,"Florida, USA",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
212,AAHealth,,"Anne Arundel County, Maryland",COVID19 Booster Shot Clinics Sign up at Appointments preferred Convenient times and lo
213,PraireeDawn67,,USA,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
