authors,date,Climate/Weather ,Normal Temperature,Max Temperature,Average Temperature,Min Temperature,Relative Humidity,Absolute  Humidity,Atmospheric Pressure,Evaporation,Dew Point,Wind Speed,Rainfall,UV light,Socioeconomic ,Racial inequality,Gender inequality,Age,Built Environment,GDP/capita,Population,Other SE factors,Human activity,Human moility,Air pollution,Built environment,Health ,Comorbidity,Healthcare capacity,Non-pharmaceutical intervention NPI
Chakraborti et al.,2021,,,,,,,,,,,,,,,,,,,NR,SCM,,,PR,PS,,,PSR C,,
Chakraborty & Maity,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaudhry et al.,2020,,,,,,,,,,,,,,,,,PRC,,SM,,PRM,,,,,,PRCM,NRM,NSC 
Chen et aL.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Chinazzi et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christophi et al.,2021,,,,NRM,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coker et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Cole et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Correa-Araneda et al.,2021,,,,,,NR ,,NR,,,,,,,,,,,,,,,,,,,,,
Coşkun et al.,2021,,,,,NSC,,,,,,PSC,I,I,,,,,,PRC,,,,,I,,,,,
Cox-Ganser & Henneberger,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dantas et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Das et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dbouk and Drikakis,2020b,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Duhon et al.,2021,,,,,,,,,,,,,,,,,,,,PRC,NRC,,,PSRT,,,,,I
Eltoukhy et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,PR,I,,,,,
Emeruwa et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,,
Endeshaw et al. ,2022,,,,I,NSRC,NSC,,,,,PSRT,PRT,I,,,,,,,,,,,,,,,,
Esteve et al. ,2020,,,,, NSC,,,,,,,,,,,,,PRM,,,,,,,,,,,
Fan et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faruk et al.,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fattorini & Rigoli,2020,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Feng et al.,2020,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Ficetola & Rubolini,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaxman et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NST
Frontera,2020,,,,,,,,,,,,,,,,,,,,,,,,PRC,,,,,
Ge et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRC
Goswami et al.,2020,,,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Grandjean et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Guan et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Guo et al.,2020,,,,NRT,,,,,,,WC,,,,,,,,,,,,,,,,,,
Gupta et al.,2020,,,,RT,,RT,,,,,,PRT,,,,,,,,,,,,PSR M,,,,,
Gupta et al.,2021,,,,,ST,,,,,,,,,,,,,,,,,,,I,,,,,
Hadjidemetriou et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRT
Harvey et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,WT,,,,
Hong et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hossain et al.,2021,,,,ST,,I,,,,,NRT,NSRT,,,,,,,,,,,,NSR,,,,,
Hridoy et al.,2021,,,,PRT,,PR I,,,,,SRI,PR I,,,,,,,,,,,,,,,,,
Hsiang et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSC
Iqbal et al. ,2020,,,,I,,,,,,,,,NRC,,,,,,,,,,,,,,,,
Islam et al.,2020 a & b,,,,PRT,,PRT,,,,,PRT,,,,,,,,,,,,,PRM,,,,,
Islam et al.,2021,,,,PRCNRT,,PRC,PSCT,,,,NRCM ,PRC,,,,,,,,,,,,,,,,,
Jahangiri et al.,2020,,,,NRT,,,,,,,,,,,,,,,,,,,,,,,,,
Jamil et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamshhidi et al.,2020,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,
Jay et aL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwok et al,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasisi & Eluwole,2021,,,,PRC,,,,,,,,,,,,,,,,,,,,,,,,,
Leibowitz et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,
Lenward et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,
Lerner et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRT
Li et al.,2021,,,NRT,,,,,,,,,,,,,PRM,NRC ,PRCM,,PRC | NRM,,,PR,,,,NRTM,NRM,NSCIM
Liang et al. ,2020,,,,,,,,,,,,,,,,,PRM,NRM,,,,,,PRM,,,,NRM,
Lianga et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lin et al.,2020,,,,NRT,,,,,,,,,,,,,,,,,,,,,,,,,
Lipsitt et al. ,2021,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Liu et al.,2020,,,,NRT,PRT,NSRT,,,,,,NRT,,,,,,,,,,,,,,,,,
Liu et al.,2021,,,,SR,,,,,,,,,,,,,,,,PRCNRM,,,,,,,,,NRC
Loché Fernández-Ahúja & Fernández Martínez,2021,,,PWT,ST ,SRC,,,ST,,,,I,I,,,,,,,,,,,,,,,,
Lorenzo et al.,2021,,,,PSC ,,NSRC,,,,,,NRC,,,,,,,,,,,,PRCNR,,,,,
Lou et al.,2020,,,,,,PST,,,,,,,,,,,,,,,,,,,,,,,
Lulbadda et al.,2021,,,,,,,,,,,,,,,,,PRC,,I,S,,,,,,,,,
Luo et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luo et al.,2020b,,,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Luo et al.,2020a,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Ma et al.,2020,,,,PRM,,STNRM,,,,,,,,,,,,,,,,,,NSRM,,,,,
Ma et al.,2021,,,,NRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Mecenas et al.,2020,,,,NRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Mele & Magazzino,2020,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,
Méndez-Arriaga,2020,,,,,,,,,,,,PRT,,,,,,,,,,,,,,,,,
Menebo,2020,,PSR,PSR ,I,I,,,,,,I,NSRC,,,,,,,,,,,,,,,,,
Merow & Urban,2020,,,PST,,,,,,,,,,,,,,,,,,,,,NSRT,,,,,
Meyer et al.,2020,,,,,,I,,,,,,,,,,,,,,,,,,,,,,PRC,
Mollalo & Tatar,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moozhipurath et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,NSRT,,,,,
Muhammad et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muniyappa & Gubbi,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Nottmeyer & Sera,2021,,,,NRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Ogen,2020,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
Okeahalam et al.,2020,,,,,,,,,,,,,,,,,NRC ,,,,,,,,,,,,
Oliveiros et al.,2020,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,
Pahuja et al.,2021,,,,NRC,,I,,,,,I,,,,,,,,,,,,,,,,,,
Pan et al.,2021,,,,I,,I,,,,,,,,,,,PRM,,,,,,,,,,PRM ,NRM,
Paraskevis et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peckham et al.,2020,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,
Pedrosa ,2020,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,
Peters et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Pirouz et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poirier et al.,2020,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,,,
Pozzer et al.,2020,,,,PRC,,,,,,,,,,,,,,,,,,,,RM,,,,,
Prata et al.,2020,,,,NRC,,,,,,,,,,,,,,,,,,,,,,,,,
Qi et al.,2020,,,,NRC,,NRC,,,,,,,,,,,,,,,,,,,,,,,
Qian et al.,2021,,,NRT,NRC,,,,,,,,,,,,,,,,,,,,,RT,,,,
Rader et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahman et al.,2020,,,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Rendana,2020,,,,WTPRC,,,,,,,SRC,,NRC,,,,,,,,,,,,,,,,
Rocklöv and Sjödin ,2020,,,,,,,,,,,,,,,,,,,,PRCM,,,,,,,,,
Ruin et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRT
Runkle et al.,2020,,,,NRT,,PST,,,,,,,I,,,,,,,,,,,,,,,,
Russell et al.,2021,,,NRT,,,,,,,,,,,,,,,,,,,,,,,,,,NSC
Saadat et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şahin,2020,,,,NRC,PRC,NRC,,,,NRC,PRC,,,,,,,,,PRC,,,,,,,,,
Sajadi et al.,2020,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Saloner et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,
Sangkham et al.,2021,,,,PRC,,PRC,,,,,PRC,,,,,,,,,,,,,NSC,,,,,
Sarkodie & Owusu,2020,,,,PSC,,NRC,,PSC,,PRC,PRC,PRCM,,,,,,,,,,,,,,,,,
Sarmadi et al.,2021,,,,,,,,,,,,,,,,,,,PRC,PRM,,,,,,,PRCM,,
Sarmadi et al.,2020,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,
Sattar et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Sera et al.,2021,,,,NRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Setti et al.,2020a,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,,
Shakil et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shao et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharma et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NST
Shi et al.,2020,,,,NRT,PRC,ST,,,,,,,,,,,,,,,,,,,,,,WC,WC
Singh et al.,2021,,,PRT,PRT ,PRT,PRT,,,PRC,,PRC,I,I,,,,,,,,,,,,,,,,
Smith et al.,2021,,,,NRT ,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Sobral et al.,2020,,,,NRTNSC,,,,,,,,PRTC,,,,,,,,,,,,,,,,,
Stufano et al.,2021,,,,I,,,,,,,U,,,,,,,,,,,,,U,,,,,
Su et al.,2020,,,,I,,,,,,,,,,,,,PRC,,,,,,,,,,PRT,,
Tobias et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
Torrats-Espinosa,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosepu et al.,2020,,,,R,,,,,,,,NRT,,,,,,,,,,,,,,,,,
Travaglio et al.,2021,,,,PRT,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Tzampoglou & Loukidis,2020,,,,R,,,,,,,,W,,,,,PRM,,,I,,,,,,,,,
Verma et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PR,PRM,
Wang & Su,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang et al.,2020,,,,,,ST,,,,,,,,,,,,,,,,,,,,,,,
Wang et al.,2022,,,NRT,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaver et al.,2022,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Wei et al.,2020,,,,,,,,,,,,PRT,,,,,,,,,,,,,,,,,
Wells et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu et al.,2020,,,,NRT,,ST,,,,,,,,,,,,,,PRCM,,,,PRCM,,,,,
Wu et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Xie & Zhu,2020,,,,PRCNRT,,,,,,,,,,,,,,,,,,,,,,,,,
Yongjan et al.,2020,,,,RT,PRT,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al.,2021,,,,NRT,,NRT,,,,,NRT,,,,,,,,,,,,,,,,,,
Yuan et al.,2020,,,PRC,NRC,,,,,,,NRC,,,,,,,,,,,,,,,,,,
Zalla et al.,2021,,,,,,,,,,,,,,,PRT,,,,,,,,,,,,,,
Zambrano-Monserrate et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zelner et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeng & Yang et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Zeng & Zhang et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,
Zhao et al.,2020,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Zhou et al. ,2021,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Zhu et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
Zoran et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,PRCM,,,,,
