Tweet,Date,User,Location,Source
RT @ACSP_Canada: 2/8 Les recommandations du Comité consultatif national de l’immunisation (CCNI) quant à la formulation pédiatrique prennen…,2021-11-21 17:32:12+00:00,FredericReid2,"Montréal, Québec",Twitter Web App
RT @doctorkatekate: สรุปเรื่อง Moderna ทั้งหมดได้ในคลิปนี้เลยค่ะ #โมเดอร์นาอยู่ไหน #โมเดอร์น่า #โมเดอร์นาล็อต1รอบ2 #Moderna #COVID19 #Covid…,2021-11-21 17:32:56+00:00,Juanbilbo7,Bilbao,Twitter Web App
@HCS_GovNL @Johnrockdoc There's only one problem with the comparisons in this video... None include injecting a sub… https://t.co/BTZxkKIs1r,2021-11-21 17:33:15+00:00,Transparent1111,,Twitter Web App
RT @ACSP_Canada: 3/5 Le CCNI recommande que la formulation pédiatrique soit offerte aux enfants de 5 à 11 ans qui n’ont pas de contre-indic…,2021-11-21 17:33:16+00:00,FredericReid2,"Montréal, Québec",Twitter Web App
A govt that doesn't care for the people nor the doctors who serve the people. Stop voting for assholes.… https://t.co/vH7T7PvbzI,2021-11-21 17:33:20+00:00,WritingsAC,,Twitter for Android
"RT @aajtak: भारत की 18+ आबादी का 81.1% कम से कम एक डोज ले चुका है और 18+ आबादी का 42.3% पूरी तरह वैक्सीनेटेड हो चुका है।
#DIU #Vaccination…",2021-11-21 17:33:45+00:00,SuryaPr74983179,"Hajipur, Bihar,India",Twitter for Android
This mandating for this #CovidVaccine is so frustrating. Can we as people warm up to the idea first 🤦🏽‍♀️😒,2021-11-21 17:33:57+00:00,RugratCharacter,Buckeye State ,Twitter for iPhone
"RT @BarbEUfel: Bravo! #Österrike 

Nej till #CovidVaccine
#Covidpass

❤🙏❤🙏❤🙏❤",2021-11-21 17:34:08+00:00,Lex80043216,,Twitter for Android
"RT @BeingBranKOd: Free People of #Croatia marching #together!

#Zagreb demo, as part of #WorldWideDemo in 160+ countries!
People marching #…",2021-11-21 17:34:09+00:00,_____eris,Hrvatska,Twitter for Android
"RT @Nic_Trevi: Per il sabato della settimana enigmistica...
TROVA LE DIFFERENZE!
19/11/2020 VS 19/11/2021
#US #CovidVaccine https://t.co/lj…",2021-11-21 17:34:14+00:00,mrtiaopi,,Twitter for Android
"RT @AlisVolPropriis: MUST SEE! 
Kyle's vaxxine complication.
#VaccineSideEffects
#CovidVaccine #COVID19ireland #VaxXed",2021-11-21 17:34:35+00:00,ThingsYouNeed2K,,Retweet Bot McBotson
"The so called safe and effective #CovidVaccine causes deaths and injuries #VAERS numbers through November 12th, 202… https://t.co/Scsgy7hs39",2021-11-21 17:34:56+00:00,BusyLiz81677483,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:35:23+00:00,mike75133117,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:35:38+00:00,PennyPo54201061,,Twitter Web App
"RT @DrJohnB2: Intracerebral bleeding with ventricular rupture shortly after 1st dose of the #Covidvaccine (Pfizer-BioNTech). 
Case of a 67-…",2021-11-21 17:36:21+00:00,Kriskri31822172,Athens,Twitter Web App
"RT @WeAreTheMSM: No Medical Apartied
Stand up to tyrants #together

#togetherwecan #covid19 #covidvaccine #novaxxpassports https://t.co/7IG…",2021-11-21 17:36:44+00:00,RMiller79154074,,Twitter Web App
"@nspector4 Yes, BC failed to involve primary care providers in #CovidVaccine rollout. It is a trend, across Canada.… https://t.co/RReST0EAkz",2021-11-21 17:36:46+00:00,nilikm,"Ottawa, Ontario",Twitter for iPhone
#COVID #ICU admissions on the rise with #unvaccinated patients leading to unavoidable COVID/non-COVID #deaths.… https://t.co/k4lJTWQFxl,2021-11-21 17:37:04+00:00,raviijobanputra,"Hitchin, England",Twitter Web App
"#TamilNadu sets target to achieve 100% vaccination against #Covid19 by month-end

#CovidVaccine  
https://t.co/6qnhWOIhSi",2021-11-21 17:39:00+00:00,ZeeNewsEnglish,India,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:39:12+00:00,VeeLedson,Toronto,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:39:15+00:00,DeeTee1948,Canada,Twitter for Android
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:39:46+00:00,RGBAtlantica,Canada,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:39:46+00:00,Mme1960,No DM/Lists,Twitter Web App
"RT @WildfireRising: I'm not anti-vaccine. I have had many. However, I am totally against forced vaccination through passports, social restr…",2021-11-21 17:39:51+00:00,craigmthae,"Roodepoort, South Africa",Twitter for iPhone
"RT @DrJohnB2: A 19-year-old man
- 1 day after getting the 2nd dose of the #Covidvaccine (Pfizer-BioNTech): influenza-like illness with head…",2021-11-21 17:40:04+00:00,bear_tally,,Twitter for Android
"After all you've done???  I don't think MD fridges are safe for storing a vaccine that requires deep refrigeration,… https://t.co/1zDEEEHPa9",2021-11-21 17:40:11+00:00,jaze_ca,,Twitter for Android
"RT @AmyLevinMD: Concerned about how ""fast"" mRNA vaccines came to market? Here's a brief and interesting history of the (not new) technology…",2021-11-21 17:40:12+00:00,FairyLight20,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:40:18+00:00,IWasInTheMiddle,,Twitter for iPhone
#허니제이 #HoneyJ #COVID #COVIDisAirborne #COVIDIOTS #Covid_19 #Covidiot #COVID19Vic #CovidVaccine #COVID19ireland https://t.co/Xd3OQkvRur,2021-11-21 17:40:22+00:00,KurmalaSari4,,Twitter Web App
Weird story of 20yo son of patients who were just telling it- my question:  did he get the vax?  Them:  actually ye… https://t.co/8BDc6oS26A,2021-11-21 17:41:10+00:00,DButterfieldRPh,"Cocoa, FL",Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:42:26+00:00,ActLikeOurHous1,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:43:51+00:00,stucke_susan,"London, Ontario",Twitter for iPhone
On the #londonunderground .. feeling a tiny bit glad I”m triple #CovidVaccine Jabbed 😅😅😅 #COVIDisAirborne     🦠🦠🦠🦠🦠… https://t.co/gtb59gIwV0,2021-11-21 17:44:02+00:00,leila_QA,"Liverpool, England",Twitter for iPhone
RT @nathanmwinnipeg: I cannot ask for a better 44th birthday gift than booking a #CovidVaccine appointment for our children first thing on…,2021-11-21 17:44:13+00:00,RolandBlitzen,Winnipeg,Twitter for iPhone
"#CovidVaccine 
#covid19Bangladesh https://t.co/mRSga8dtw0",2021-11-21 17:44:27+00:00,ASM_Shamsuzoha,Uttara Dhaka Bangladesh,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:45:30+00:00,Mary55229100,,Twitter for Android
@StZerko @Cenckiewicz https://t.co/GEROzkWbtV,2021-11-21 17:45:55+00:00,Grzegorz_Rossa,,Twitter Web App
"If you don’t think UK has an #Covid crisis now and you’re not at risk read this from Dr @danielgoyal 👇👇👇😱

Now… https://t.co/3RFCjvFICx",2021-11-21 17:46:33+00:00,PatrickHanrahan,"South East, England",Twitter for iPhone
Thread #CovidVaccine,2021-11-21 17:47:26+00:00,voter1vote,"Wisconsin, USA",Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:47:31+00:00,samkj27,"Toronto, Ontario",Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:47:45+00:00,sheryl_man,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:47:56+00:00,Connie_TO1682,"Ontario, Canada",Twitter for iPhone
"RT @JEM_Books: ""They are actually trying to overthrow the United States!"" ~ Martin Armstrong
#GreatReset #Covid #CovidVaccine #Coup #Border…",2021-11-21 17:48:05+00:00,J3enjamin,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:48:57+00:00,Cronewomanchane,ontario,Twitter for iPhone
"This is completely unacceptable when we had vaccines this year.
#COVID19 #CovidVaccine #GetVaccinatedNow",2021-11-21 17:49:29+00:00,KevinDragos,New York,Twitter Web App
@DiabolicalGenie @TheBegonis @ChuckCallesto @jamadrop How do you explain this? Since you were so worried about a vi… https://t.co/S83NIpyCyo,2021-11-21 17:49:32+00:00,ClubFunSoccer,USA,Twitter for iPhone
What's the point in getting vaccinated if we can't go back to some resemblance of normality. Something has to give #COVID19 #CovidVaccine,2021-11-21 17:50:03+00:00,Michael27921179,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:50:09+00:00,JoanJardin,"Kingston, ON",Twitter for Android
RT @GovCanHealth: (1/9) The NACI recommends two 10 mcg doses of the Pfizer-BioNTech Comirnaty #CovidVaccine may be offered to children 5-11…,2021-11-21 17:50:34+00:00,withspin,"Washington, DC suburb",Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:51:29+00:00,LaCombeRon,Port Hope,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:51:41+00:00,The_Rae_Girl,"O-Town, Canada",Twitter for Android
"RT @ZeeNewsEnglish: #TamilNadu sets target to achieve 100% vaccination against #Covid19 by month-end

#CovidVaccine  
https://t.co/6qnhWOIh…",2021-11-21 17:51:49+00:00,VVpvarma1956,Ahmedabad,Twitter for Android
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:52:18+00:00,millerd99,Ottawa/Toronto,Twitter for iPhone
"RT @ZeeNewsEnglish: #TamilNadu sets target to achieve 100% vaccination against #Covid19 by month-end

#CovidVaccine  
https://t.co/6qnhWOIh…",2021-11-21 17:52:19+00:00,Sumpankajs,भारत,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:52:25+00:00,inthehammer2,HOME 🇨🇦 ,Twitter for Android
RT @susananderton5: #NewWorldOrder #greatreset #COVID19 #CovidVaccine #WakeUp https://t.co/NSlLLxvYB7,2021-11-21 17:52:36+00:00,Jack44846841,,Twitter for Android
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:53:22+00:00,DunyaEirene,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:54:31+00:00,KenSmith001,Somewhere S of the North Pole,Twitter Web App
"""The 'WORST' side effect you have is 1 day feeling crappy"" 
Really?🤔 #CovidVaccine ?",2021-11-21 17:55:17+00:00,Lubilu44,England,Twitter Web App
So there are 3 #CovidVaccine more than last year. 75% of all Americans are #Vaccinated yet there are more cases of… https://t.co/p7zBxxYxFk,2021-11-21 17:55:59+00:00,MPShrike,On a beach somewhere ,Twitter for iPhone
RT @Enantiodromia12: #Pfizer #EUA #CovidVaccine #CoverUp,2021-11-21 17:56:43+00:00,DorothyLangham,,Twitter Web App
"RT @ChimpReports: #COVIDVACCINE: ""We are working on our own vaccine, which we shall call Nalubale Dawa (ND). You can think about a better n…",2021-11-21 17:57:08+00:00,OOdonkara,"Gulu, Uganda",Twitter for Android
"RT @rubin_allergy: One of my patients had a confirmed case of #anaphylaxis to the first dose of an mRNA #COVIDVaccine, but was able to safe…",2021-11-21 17:57:09+00:00,chanze47802655,,Twitter for iPhone
"Well, well, well.

#Tesco advert now going shown without Santa and his #CovidVaccine pass.

The power of consumer pressure.",2021-11-21 17:58:13+00:00,rigga_mortis,"Sheffield, England",Twitter for Android
"RT @DareToFly777: If you aren't aware of what's in the #CovidVaccine watch my latest video - you will be shocked👇

https://t.co/Vos4FBm96L…",2021-11-21 17:59:03+00:00,DentyAndShaz,🇬🇧,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:59:19+00:00,sarahmc_photo,"Ottawa, Ontario, Canada",Twitter for Android
@HSmeds https://t.co/AyUHKxN2If,2021-11-21 17:59:30+00:00,Kars00086420,Sverige,Twitter for iPhone
"RT @ZeeNewsEnglish: #TamilNadu sets target to achieve 100% vaccination against #Covid19 by month-end

#CovidVaccine  
https://t.co/6qnhWOIh…",2021-11-21 18:00:06+00:00,Arman25849226,,Twitter for Android
Setting up and ready to vaccinate! #EveryChildCounts #BecauseWeCare #COVIDVaccine https://t.co/wvgk5NKpNg,2021-11-21 18:00:07+00:00,HCSdv,"Media, PA",Hootsuite Inc.
"RT @genperisi: #Covid19 gebelikte asilanma icin en dogru zaman hangisi?anneyi korumak,erken dogum/gebelik komplikasyonlari onlemek acisinda…",2021-11-21 18:00:16+00:00,ncholiA,Heidelberg | İzmir,Twitter for iPhone
@TinFoilAwards @FreedomSpartan @mcfunny @BGLTHMND @TeddyFreddy11 @Paulwady @EDalmayne @cappsie @Rosewind2007… https://t.co/lif4vGjrAe,2021-11-21 18:00:17+00:00,JestrBob,Central California,Twitter for iPad
"RT @EVanderclooten: #CovidVaccine #COVIDIOTS #Booster #Nazis 
@CDA @D66 @VVD @FVD #Volkshysterie #puinhoop #achtervolging #theChase 

 #hys…",2021-11-21 18:00:50+00:00,EVanderclooten,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:01:23+00:00,MamaToronto,,Twitter Web App
RT @JestrBob: @TinFoilAwards @FreedomSpartan @mcfunny @BGLTHMND @TeddyFreddy11 @Paulwady @EDalmayne @cappsie @Rosewind2007 @gooner62 @ianfm…,2021-11-21 18:01:53+00:00,doritmi,"Bay Area, CA",Twitter for iPhone
"@drfahrettinkoca HES uygulamasını tamamen kaldırmalısınız.
HAYAT EVE SIĞMAZ
SIĞMADI
SIĞMAYACAK

İNSANIZ BİZ, ROBOT… https://t.co/oOEaq6qWiS",2021-11-21 18:02:53+00:00,MetinPacar,İstanbul,Twitter for Android
RT @GovCanHealth: (1/3) Health Canada has authorized the use of Pfizer-BioNTech Comirnaty #CovidVaccine in children 5 to 11 years of age. U…,2021-11-21 18:03:22+00:00,MohawkGardensPS,"Burlington, Ontario",Twitter Web App
RT @5PHCS: 👍🏼,2021-11-21 18:03:42+00:00,beatmeyer,Schweiz - Suisse - Switzerland,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:03:52+00:00,RuralHomeCareBG,"Bruce,Grey,Huron,Perth ON",Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:04:06+00:00,lief808,,Twitter for iPhone
RT @GovCanHealth: (1/9) The NACI recommends two 10 mcg doses of the Pfizer-BioNTech Comirnaty #CovidVaccine may be offered to children 5-11…,2021-11-21 18:04:10+00:00,MohawkGardensPS,"Burlington, Ontario",Twitter Web App
"Some character designs I have been working on...
#QuarantineLife #characterart #DisneyPlus #conceptart… https://t.co/E0pBBAdZPZ",2021-11-21 18:04:36+00:00,MyaeahM,Somewhere near you ,Twitter Web App
"RT @GovCanHealth: (8/9) For children 5-11 years old, NACI recommends the Pfizer-BioNTech Comirnaty #CovidVaccine be given at least 14 days…",2021-11-21 18:04:45+00:00,MohawkGardensPS,"Burlington, Ontario",Twitter Web App
RT @GovCanHealth: (9/9) Parents and caregivers need to be supported in making a decision about vaccination for their children. Learn more a…,2021-11-21 18:04:54+00:00,MohawkGardensPS,"Burlington, Ontario",Twitter Web App
RT @oliver_jordanov: German #soccer player #kimmich still resisting the #clotshot,2021-11-21 18:05:03+00:00,OBundWIE,Schenkenländchen,Twitter Web App
"@Captain_Ravens for the strong immunity system Lamar claims, he sure gets sick a lot. #CovidVaccine",2021-11-21 18:05:07+00:00,hoyabull,"Marietta, Georgia",Twitter for iPad
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:06:25+00:00,ssmulderss,,Twitter for iPhone
Yeah WHEN can we register to get this?!?,2021-11-21 18:06:27+00:00,LauraBabcock,Punta Canada during Covid ,Twitter for iPhone
"RT @aajtak: भारत की 18+ आबादी का 81.1% कम से कम एक डोज ले चुका है और 18+ आबादी का 42.3% पूरी तरह वैक्सीनेटेड हो चुका है।
#DIU #Vaccination…",2021-11-21 18:06:51+00:00,Arman25849226,,Twitter for Android
Yes!!!,2021-11-21 18:07:09+00:00,mouthinoff,Ontario,Twitter for Android
2X vaxxed US citizens require PCR test to enter CA admission by @jyduclos on @CTVQP Nov21/21 #COVID19 vaccine ineff… https://t.co/FgqN8yQYOu,2021-11-21 18:07:48+00:00,JRocker464,,Twitter Web App
"RT @Arcanah3: #Autriche 🇦🇹

💥#Manifestation à #Salzbourg contre les restrictions pour les #nonvaccinés💥

Vive la liberté 👊 

#COVID19 #Autr…",2021-11-21 18:08:21+00:00,lau_avel,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:08:49+00:00,NoMoreBooks,,Twitter for iPhone
"@washingtonpost What is wrong with these people? Most, if not all, have willingly subjected themselves to more vacc… https://t.co/KmscZfNrlB",2021-11-21 18:09:55+00:00,Pattybear11,"New Mexico, USA",Twitter Web App
"Boostered!! Get it, dudes! #CovidVaccine https://t.co/gjS7Gdc1ra",2021-11-21 18:10:28+00:00,Doc_Hillz,Texas,Twitter for Android
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:10:33+00:00,50nFaboo,,Twitter for Android
RT @MinusNull: Der ungeimpfte und gesunde #Kimmich wird sanktioniert während die geimpften und an #COVID19 erkrankten #Süle und #Nagelsmann…,2021-11-21 18:11:08+00:00,LisaLies12,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:11:21+00:00,salsaveggie,"Toronto, Ontario",Twitter for Android
"RT @Jjones8025M: #Bidenflation #BidenBorderCrisis #BidenPoopedHisPants #BidensBorderCrisis #BIDENCOGNITIVETEST #Bidenfarts 
#inflation #inf…",2021-11-21 18:11:21+00:00,FeministWeiner,Liberal heads rent free,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:12:16+00:00,JudithNewing,Canada,Twitter for iPad
Why do we not have walk-in mass booster vaccination centres for all open 24 hours for a few weeks to fight this hug… https://t.co/IC7GwgVPUe,2021-11-21 18:14:10+00:00,Planetwaves20,"Dublin City, Ireland",Twitter for iPhone
@mcfunny @FreedomSpartan @BGLTHMND @TeddyFreddy11 @Paulwady @EDalmayne @cappsie @Rosewind2007 @gooner62… https://t.co/v9ASTQQrjB,2021-11-21 18:14:14+00:00,JestrBob,Central California,Twitter for iPad
RT @Laissonslespre1: Très nombreuses publications en cours sur les complications hématologiques des #vaccins à #ARNm #Pfizergate #Pfizer #M…,2021-11-21 18:14:23+00:00,Martin62016426,,Twitter for Android
#BillGates #Covid19 #CovidVaccine #DoNotComply,2021-11-21 18:15:24+00:00,SusanBoth21,,Twitter Web App
RT @MinusNull: Der ungeimpfte und gesunde #Kimmich wird sanktioniert während die geimpften und an #COVID19 erkrankten #Süle und #Nagelsmann…,2021-11-21 18:15:24+00:00,gogogo29117799,,Twitter for iPhone
"RT @rubin_allergy: One of my patients had a confirmed case of #anaphylaxis to the first dose of an mRNA #COVIDVaccine, but was able to safe…",2021-11-21 18:16:22+00:00,queensnycfrank,"Las Vegas, Nevada, USA",Twitter Web App
"RT @MinusNull: In Israel erklärten zwei Forscher, „dass die Impfungen mehr Todesfälle verursacht haben, als das Coronavirus im gleichen Zei…",2021-11-21 18:16:27+00:00,AndreaH95642841,"Berlin, Germany",Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:16:43+00:00,TiredCommuter,Toronto,Twitter for Android
RT @ImmunizedotCa: Recommendation on the use of the Pfizer-BioNTech #COVID19 vaccine (10 mcg) in children 5-11 years of age | National Advi…,2021-11-21 18:17:08+00:00,MohawkGardensPS,"Burlington, Ontario",Twitter Web App
"RT @TheRaDR: Ok fine you win, we’re dead from cute but saved by the vax thank God",2021-11-21 18:17:48+00:00,KatharsisRavyn,NYC,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:17:51+00:00,LorainneMacDon1,"Ontario, Canada",Twitter for iPhone
"RT @WinnieBrinks: The FDA has authorized Moderna and Pfizer boosters for all adults, and the CDC recommends it. 

For those that still need…",2021-11-21 18:17:55+00:00,Solutioneer72,"Chicago, IL, USA",Twitter for Android
@PoliceOnGuard @mounties4free There's only one problem with the comparisons in this video... None include injecting… https://t.co/szsMrEwNKY,2021-11-21 18:17:55+00:00,Transparent1111,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 18:18:34+00:00,zengarden17,"Tronna, Canada",Twitter Web App
In the name of #Science #WakeUp #saveourchildren #CovidVaccine @fordnation @celliottability @JustinTrudeau… https://t.co/FZFJeJ9mt3,2021-11-21 18:19:35+00:00,EffJenny,Between here and there ,Twitter for iPhone
